Nodes in Path,Nodes Explored,Execution Time,Distance,Cost,,,,,,,,,,,,
2,2,2,2,3,,,,,,,,0.166666667,0.166666667,0.166666667,0.222222222,0.114650412
6,6,4,8,3.60555,,,,,,,,0.833333333,0.833333333,0.333333333,0.888888889,0.137792597
4,4,2,4,2.23607,,,,,,,,0.5,0.5,0.166666667,0.444444444,0.085455449
4,4,3,4,4.47214,,,,,,,,0.5,0.5,0.25,0.444444444,0.170910898
2,2,1,2,1,,,,,,,,0.166666667,0.166666667,0.083333333,0.222222222,0.038216804
3,3,1,3,1.41421,,,,,,,,0.333333333,0.333333333,0.083333333,0.333333333,0.054046586
2,2,3,1,1,,,,,,,,0.166666667,0.166666667,0.25,0.111111111,0.038216804
2,2,1,2,1,,,,,,,,0.166666667,0.166666667,0.083333333,0.222222222,0.038216804
2,2,2,2,1.38E+00,,,,,,,,0.166666667,0.166666667,0.166666667,0.222222222,0.052739189
3,3,2,3,4.24264,,,,,,,,0.333333333,0.333333333,0.166666667,0.333333333,0.162140141
6,6,6,7,3.60555,,,,,,,,0.833333333,0.833333333,0.5,0.777777778,0.137792597
5,5,3,7,3.16228,,,,,,,,0.666666667,0.666666667,0.25,0.777777778,0.120852235
3,3,4,3,1.41421,,,,,,,,0.333333333,0.333333333,0.333333333,0.333333333,0.054046586
2,2,0,1,1,,,,,,,,0.166666667,0.166666667,0,0.111111111,0.038216804
5,5,4,5,3.16228,,,,,,,,0.666666667,0.666666667,0.333333333,0.555555556,0.120852235
3,3,2,2,6,,,,,,,,0.333333333,0.333333333,0.166666667,0.222222222,0.229300824
2,2,1,2,1,,,,,,,,0.166666667,0.166666667,0.083333333,0.222222222,0.038216804
5,5,5,5,3.16228,,,,,,,,0.666666667,0.666666667,0.416666667,0.555555556,0.120852235
3,3,1,2,6,,,,,,,,0.333333333,0.333333333,0.083333333,0.222222222,0.229300824
2,2,0,1,1,,,,,,,,0.166666667,0.166666667,0,0.111111111,0.038216804
6,6,5,7,3.60555,,,,,,,,0.833333333,0.833333333,0.416666667,0.777777778,0.137792597
1,1,0,0,0,,,,,,,,0,0,0,0,0
3,3,2,3,1.41421,,,,,,,,0.333333333,0.333333333,0.166666667,0.333333333,0.054046586
5,5,2,6,2.82843,,,,,,,,0.666666667,0.666666667,0.166666667,0.666666667,0.108093555
1,1,0,0,0,,,,,,,,0,0,0,0,0
3,3,1,4,2,,,,,,,,0.333333333,0.333333333,0.083333333,0.444444444,0.076433608
2,2,1,2,3.1,,,,,,,,0.166666667,0.166666667,0.083333333,0.222222222,0.118472092
3,3,3,3,4.24264,,,,,,,,0.333333333,0.333333333,0.25,0.333333333,0.162140141
6,6,7,7,3.60555,,,,,,,,0.833333333,0.833333333,0.583333333,0.777777778,0.137792597
5,5,3,6,26.1665,,,,,,,,0.666666667,0.666666667,0.25,0.666666667,1
5,5,3,7,3.16228,,,,,,,,0.666666667,0.666666667,0.25,0.777777778,0.120852235
3,3,2,3,3.74E+00,,,,,,,,0.333333333,0.333333333,0.166666667,0.333333333,0.142930847
3,3,4,3,2.85E+00,,,,,,,,0.333333333,0.333333333,0.333333333,0.333333333,0.108917891
,,,,,,,,,,,AVG,0.408333333,0.408333333,0.200833333,0.411111111,0.120837075
