Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
2,4,0,2,,,,,,,,0.055555556,0.166666667,0,0.058823529
10,16,5,16,,,,,,,,0.5,0.666666667,0.416666667,0.470588235
16,24,6,27,,,,,,,,0.833333333,1,0.5,0.794117647
3,7,3,4,,,,,,,,0.111111111,0.291666667,0.25,0.117647059
9,18,4,14,,,,,,,,0.444444444,0.75,0.333333333,0.411764706
7,15,4,11,,,,,,,,0.333333333,0.625,0.333333333,0.323529412
4,9,2,6,,,,,,,,0.166666667,0.375,0.166666667,0.176470588
1,0,0,0,,,,,,,,0,0,0,0
15,23,11,24,,,,,,,,0.777777778,0.958333333,0.916666667,0.705882353
1,0,0,0,,,,,,,,0,0,0,0
7,15,5,10,,,,,,,,0.333333333,0.625,0.416666667,0.294117647
2,3,0,2,,,,,,,,0.055555556,0.125,0,0.058823529
5,11,3,7,,,,,,,,0.222222222,0.458333333,0.25,0.205882353
,,,,,,,,,,AVG,0.373888889,0.540416667,0.340833333,0.353235294
