Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
3,6,2,4,,,,,,,,0.117647059,0.25,0.166666667,0.125
9,14,7,14,,,,,,,,0.470588235,0.583333333,0.583333333,0.4375
11,18,5,19,,,,,,,,0.588235294,0.75,0.416666667,0.59375
4,9,2,6,,,,,,,,0.176470588,0.375,0.166666667,0.1875
1,0,0,0,,,,,,,,0,0,0,0
14,23,6,23,,,,,,,,0.764705882,0.958333333,0.5,0.71875
1,0,1,0,,,,,,,,0,0,0.083333333,0
11,18,6,18,,,,,,,,0.588235294,0.75,0.5,0.5625
12,20,8,20,,,,,,,,0.647058824,0.833333333,0.666666667,0.625
5,7,2,7,,,,,,,,0.235294118,0.291666667,0.166666667,0.21875
,,,,,,,,,,AVG,0.417058824,0.542916667,0.386666667,0.4003125
