Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
15,23,11,21,,,,,,,,0.777777778,0.958333333,0.733333333,0.807692308
8,13,4,11,,,,,,,,0.388888889,0.541666667,0.266666667,0.423076923
7,14,4,8,,,,,,,,0.333333333,0.583333333,0.266666667,0.307692308
3,7,1,3,,,,,,,,0.111111111,0.291666667,0.066666667,0.115384615
14,22,8,20,,,,,,,,0.722222222,0.916666667,0.533333333,0.769230769
9,15,4,12,,,,,,,,0.444444444,0.625,0.266666667,0.461538462
11,17,9,15,,,,,,,,0.555555556,0.708333333,0.6,0.576923077
5,8,1,6,,,,,,,,0.222222222,0.333333333,0.066666667,0.230769231
14,23,9,20,,,,,,,,0.722222222,0.958333333,0.6,0.769230769
1,0,0,0,,,,,,,,0,0,0,0
10,16,7,14,,,,,,,,0.5,0.666666667,0.466666667,0.538461538
14,22,9,19,,,,,,,,0.722222222,0.916666667,0.6,0.730769231
3,5,0,3,,,,,,,,0.111111111,0.208333333,0,0.115384615
,,,,,,,,,,AVG,0.431666667,0.5775,0.36,0.451153846
