Nodes in Path,Nodes Explored,Execution Time,Distance,Cost,,,,,,,,,,,,
2,2,2,2,0.00E+00,,,,,,,,0.166666667,0.166666667,0.285714286,0.222222222,0
6,6,4,8,3.60555,,,,,,,,0.833333333,0.833333333,0.571428571,0.888888889,0.138771072
4,4,3,4,6.7082,,,,,,,,0.5,0.5,0.428571429,0.444444444,0.258186437
4,4,3,4,2.23607,,,,,,,,0.5,0.5,0.428571429,0.444444444,0.086062274
2,2,0,2,1,,,,,,,,0.166666667,0.166666667,0,0.222222222,0.038488184
3,3,3,3,1.41421,,,,,,,,0.333333333,0.333333333,0.428571429,0.333333333,0.054430375
2,2,1,1,3,,,,,,,,0.166666667,0.166666667,0.142857143,0.111111111,0.115464552
2,2,3,2,1,,,,,,,,0.166666667,0.166666667,0.428571429,0.222222222,0.038488184
2,2,1,2,2,,,,,,,,0.166666667,0.166666667,0.142857143,0.222222222,0.076976368
3,3,3,3,1.41421,,,,,,,,0.333333333,0.333333333,0.428571429,0.333333333,0.054430375
6,6,5,7,3.60555,,,,,,,,0.833333333,0.833333333,0.714285714,0.777777778,0.138771072
5,5,2,7,0.00E+00,,,,,,,,0.666666667,0.666666667,0.285714286,0.777777778,0
3,3,2,3,0.00E+00,,,,,,,,0.333333333,0.333333333,0.285714286,0.333333333,0
2,2,1,1,1,,,,,,,,0.166666667,0.166666667,0.142857143,0.111111111,0.038488184
5,5,2,5,3.16228,,,,,,,,0.666666667,0.666666667,0.285714286,0.555555556,0.121710415
3,3,4,2,2,,,,,,,,0.333333333,0.333333333,0.571428571,0.222222222,0.076976368
2,2,1,2,1,,,,,,,,0.166666667,0.166666667,0.142857143,0.222222222,0.038488184
5,5,4,5,3.16228,,,,,,,,0.666666667,0.666666667,0.571428571,0.555555556,0.121710415
3,3,1,2,2,,,,,,,,0.333333333,0.333333333,0.142857143,0.222222222,0.076976368
2,2,0,1,1,,,,,,,,0.166666667,0.166666667,0,0.111111111,0.038488184
6,6,5,7,3.60555,,,,,,,,0.833333333,0.833333333,0.714285714,0.777777778,0.138771072
1,1,0,0,0,,,,,,,,0,0,0,0,0
3,3,3,3,1.41421,,,,,,,,0.333333333,0.333333333,0.428571429,0.333333333,0.054430375
5,5,4,6,2.82843,,,,,,,,0.666666667,0.666666667,0.571428571,0.666666667,0.108861135
1,1,1,0,0,,,,,,,,0,0,0.142857143,0,0
3,3,1,4,2,,,,,,,,0.333333333,0.333333333,0.142857143,0.444444444,0.076976368
2,2,0,2,1,,,,,,,,0.166666667,0.166666667,0,0.222222222,0.038488184
3,3,2,3,2.82843,,,,,,,,0.333333333,0.333333333,0.285714286,0.333333333,0.108861135
6,6,7,7,3.60555,,,,,,,,0.833333333,0.833333333,1,0.777777778,0.138771072
5,5,3,6,8.48528,,,,,,,,0.666666667,0.666666667,0.428571429,0.666666667,0.326583019
5,5,3,7,25.2982,,,,,,,,0.666666667,0.666666667,0.428571429,0.777777778,0.97368178
3,3,3,3,0.00E+00,,,,,,,,0.333333333,0.333333333,0.428571429,0.333333333,0
3,3,1,3,1.41421,,,,,,,,0.333333333,0.333333333,0.142857143,0.333333333,0.054430375
,,,,,,,,,,,AVG,0.408333333,0.408333333,0.351428571,0.411111111,0.8688589
